,City,Lat,Lng,Temp,Humidity,Cloudiness,Wind,Country,Date
28,coahuayana,18.7333,-103.6833,67.98,85,15,2.51,MX,1612925425
29,punta arenas,-53.15,-70.9167,62.6,63,0,2.3,CL,1612925352
30,hermanus,-34.4187,19.2345,63.0,92,76,3.0,ZA,1612925425
31,dickinson,29.4608,-95.0513,63.0,94,90,6.91,US,1612925426
32,chokurdakh,70.6333,147.9167,-14.28,88,0,2.01,RU,1612925426
33,dikson,73.5069,80.5464,-28.5,87,98,9.26,RU,1612925426
34,wanning,18.8003,110.3967,63.43,92,100,11.16,CN,1612925032
35,tuktoyaktuk,69.4541,-133.0374,-38.2,67,20,5.75,CA,1612925427
36,osoyoos,49.0331,-119.4524,21.2,42,43,2.3,CA,1612925382
37,swan hill,-35.3378,143.5544,92.25,26,19,10.8,AU,1612925427
38,vao,-22.6667,167.4833,78.57,77,17,9.1,NC,1612925428
39,sarahan,31.5167,77.8,42.15,51,0,8.5,IN,1612925428
40,pacific grove,36.6177,-121.9166,54.0,82,90,4.61,US,1612925428
41,lusambo,-4.9667,23.45,70.66,90,100,1.34,CD,1612925429
42,rikitea,-23.1203,-134.9692,79.07,70,41,6.49,PF,1612925429
43,derzhavinsk,51.1,66.3167,-23.46,86,3,8.61,KZ,1612925429
44,mugur-aksy,50.35,90.5,-1.05,75,0,4.38,RU,1612925430
45,honningsvag,70.9821,25.9704,23.99,89,100,22.08,NO,1612925430
46,kenai,60.5544,-151.2583,9.0,85,90,10.36,US,1612925430
47,kaitangata,-46.2817,169.8464,57.99,91,100,8.99,NZ,1612925431
48,castro,-24.7911,-50.0119,56.84,94,100,6.58,BR,1612925431
49,carnarvon,-24.8667,113.6333,78.8,73,0,25.32,AU,1612925431
50,herat,34.5,62.0,37.4,60,0,6.91,AF,1612925432
51,kruisfontein,-34.0033,24.7314,60.01,94,15,1.01,ZA,1612925232
52,saint andrews,34.0454,-81.1293,55.99,88,75,2.95,US,1612925433
53,khatanga,71.9667,102.5,-14.22,84,0,7.76,RU,1612925433
54,akureyri,65.6835,-18.0878,21.2,93,90,3.44,IS,1612925433
55,bredasdorp,-34.5322,20.0403,55.4,88,87,2.3,ZA,1612925434
56,bluff,-46.6,168.3333,53.71,88,100,25.03,NZ,1612925434
57,zaozerne,45.1582,33.2787,53.01,65,100,5.99,UA,1612925434
58,upernavik,72.7868,-56.1549,9.54,75,0,2.42,GL,1612925435
59,morganton,35.7454,-81.6848,48.99,79,83,2.73,US,1612925435
60,praia,14.9215,-23.5087,68.0,83,0,12.66,CV,1612925435
61,banswara,23.55,74.45,70.18,24,43,1.45,IN,1612925436
62,jamestown,42.097,-79.2353,18.0,79,90,8.05,US,1612925193
63,nikolskoye,59.7035,30.7861,1.99,77,81,2.24,RU,1612925436
64,labuhan,-6.8844,112.2051,83.44,78,91,9.06,ID,1612925437
65,lompoc,34.6391,-120.4579,51.8,82,75,5.75,US,1612924865
66,dunmore town,25.5,-76.65,74.84,84,0,9.84,BS,1612925437
67,victoria,22.2855,114.1577,62.01,92,100,1.01,HK,1612925278
68,lebu,-37.6167,-73.65,60.17,86,0,12.06,CL,1612925289
69,dobra,44.7833,25.7167,48.0,100,40,8.05,RO,1612925438
70,busselton,-33.65,115.3333,69.01,53,0,7.0,AU,1612925439
71,cabo san lucas,22.8909,-109.9124,66.99,82,1,14.97,MX,1612925439
72,adrar,20.5022,-10.0711,60.4,28,80,8.1,MR,1612925439
73,yuzhou,34.1628,113.4639,48.2,61,55,4.47,CN,1612925440
74,mahebourg,-20.4081,57.7,77.0,83,40,1.14,MU,1612925145
75,sokolo,14.7328,-6.1219,70.75,21,0,9.75,ML,1612925441
76,yellowknife,62.456,-114.3525,-9.0,77,90,11.5,CA,1612925441
77,vila franca do campo,37.7167,-25.4333,62.01,94,75,19.57,PT,1612925441
78,anadyr,64.75,177.4833,3.2,60,0,4.47,RU,1612925442
79,new norfolk,-42.7826,147.0587,72.0,38,0,1.01,AU,1612925442
80,fort nelson,58.8053,-122.7002,-11.2,64,90,8.05,CA,1612925442
81,albany,42.6001,-73.9662,23.0,87,8,7.4,US,1612925443
82,nyakahanga,-1.6033,31.1414,58.06,100,98,1.3,TZ,1612925443
83,port elizabeth,-33.918,25.5701,64.4,94,0,3.44,ZA,1612925443
84,faya,18.3851,42.4509,44.6,87,0,3.76,SA,1612925048
85,nhulunbuy,-12.2333,136.7667,87.8,70,75,11.5,AU,1612925444
86,alta gracia,-31.6529,-64.4283,66.99,90,81,4.0,AR,1612925444
87,nauta,-4.5061,-73.5757,74.82,95,100,2.21,PE,1612925445
88,lahij,13.1667,44.5833,67.42,85,68,3.8,YE,1612925445
89,faanui,-16.4833,-151.75,82.0,73,0,13.69,PF,1612924921
90,gorontalo,0.5412,123.0595,89.53,58,40,3.33,ID,1612925105
91,batemans bay,-35.7167,150.1833,66.99,83,88,3.0,AU,1612925446
92,haines junction,60.7522,-137.5108,-29.2,68,30,1.39,CA,1612925446
93,itarema,-2.9248,-39.9167,76.98,90,97,6.53,BR,1612925447
94,ust-tsilma,65.441,52.1498,-10.77,90,100,2.71,RU,1612925447
95,kampot,10.6167,104.1833,84.2,83,40,5.75,KH,1612925448
96,atasu,48.6814,71.6433,-15.12,89,89,9.62,KZ,1612925448
97,kholtoson,50.2981,103.3097,24.21,91,100,1.81,RU,1612925449
98,nemuro,43.3236,145.575,26.6,54,40,9.22,JP,1612925449
99,portland,45.5234,-122.6762,39.2,60,20,5.75,US,1612925304
100,saint-augustin,51.226,-58.6502,17.62,97,100,10.63,CA,1612924886
101,cayenne,4.9333,-52.3333,77.0,78,20,5.75,GF,1612925450
102,atar,20.5169,-13.0499,61.97,29,56,9.08,MR,1612925162
103,mabaruma,8.2,-59.7833,72.07,91,70,2.71,GY,1612925451
104,buturlinovka,50.8239,40.6092,24.04,98,100,1.68,RU,1612925451
105,verkhoyansk,67.5447,133.385,-18.35,80,23,1.52,RU,1612925451
106,los andes,-32.8337,-70.5983,72.0,99,1,0.89,CL,1612925452
107,longyearbyen,78.2186,15.6401,17.6,86,75,2.3,SJ,1612925452
108,muisne,0.6,-80.0333,76.64,86,74,1.66,EC,1612925453
109,smithers,54.7804,-127.1743,-4.0,54,20,6.91,CA,1612925453
110,pangkalanbuun,-2.6833,111.6167,90.46,56,56,3.78,ID,1612925453
111,ribeira grande,38.5167,-28.7,60.44,83,100,18.84,PT,1612925454
112,esperance,-33.8667,121.9,75.2,46,75,10.36,AU,1612925454
113,can tho,10.0333,105.7833,82.4,83,40,8.05,VN,1612925455
114,nabire,-3.3667,135.4833,88.18,58,10,5.17,ID,1612925456
115,ossora,59.2353,163.0719,31.62,98,100,33.71,RU,1612925456
116,butaritari,3.0707,172.7902,81.59,82,73,16.53,KI,1612925456
117,mar del plata,-38.0023,-57.5575,66.0,88,75,12.66,AR,1612925342
118,bogande,12.9714,-0.1436,71.31,17,0,7.65,BF,1612925457
119,hasaki,35.7333,140.8333,52.0,32,75,9.22,JP,1612925457
120,tasiilaq,65.6145,-37.6368,14.0,62,75,4.16,GL,1612925458
121,arraial do cabo,-22.9661,-42.0278,73.36,86,0,5.59,BR,1612925458
122,santa rosa,14.3122,121.1114,84.99,69,40,9.22,PH,1612925234
123,qaanaaq,77.484,-69.3632,14.43,79,0,7.02,GL,1612925459
124,saskylakh,71.9167,114.0833,-25.22,82,0,8.9,RU,1612925459
125,zabol,32.25,67.25,37.67,74,0,2.15,AF,1612925460
126,berlevag,70.8578,29.0864,21.87,88,100,19.1,NO,1612925460
127,sainte-rose,16.3324,-61.6979,71.6,88,0,4.61,GP,1612925460
128,gyomaendrod,46.9333,20.8333,37.99,100,40,6.91,HU,1612925461
129,avarua,-21.2078,-159.775,84.2,70,40,10.36,CK,1612925462
130,servia,40.1797,21.9944,39.2,87,45,3.44,GR,1612925462
131,east london,-33.0153,27.9116,69.66,83,0,3.49,ZA,1612924898
132,waitati,-45.75,170.5667,59.0,73,75,1.01,NZ,1612925409
133,saint-philippe,-21.3585,55.7679,78.8,61,0,3.44,RE,1612925463
134,norman wells,65.282,-126.8329,-36.4,67,20,3.44,CA,1612925463
135,puerto ayora,-0.7393,-90.3518,78.01,91,78,4.29,EC,1612925463
136,huarmey,-10.0681,-78.1522,71.01,82,66,4.16,PE,1612925363
137,zhaoyang,42.682,126.0305,27.32,95,0,7.85,CN,1612925464
138,erzin,36.9559,36.2,55.0,73,6,11.99,TR,1612925464
139,tual,-5.6667,132.75,83.57,78,87,16.26,ID,1612925465
140,san angelo,31.4638,-100.437,35.6,80,75,8.05,US,1612925420
141,cap malheureux,-19.9842,57.6142,77.0,81,38,1.99,MU,1612925466
142,paamiut,61.994,-49.6678,26.65,83,93,10.4,GL,1612925466
143,shingu,33.7333,135.9833,50.0,40,20,16.11,JP,1612925467
144,axim,4.8699,-2.2405,79.47,88,26,7.34,GH,1612925467
145,leningradskiy,69.3833,178.4167,-26.5,83,1,11.14,RU,1612925468
146,ornskoldsvik,63.2909,18.7153,12.2,92,20,6.91,SE,1612925468
147,batagay,67.6333,134.6333,-18.8,83,0,0.18,RU,1612925468
148,severo-kurilsk,50.6789,156.125,27.86,89,98,9.98,RU,1612925469
149,thompson,55.7435,-97.8558,-31.0,68,1,5.75,CA,1612925411
150,voskresenskoye,56.8381,45.4317,1.67,93,100,6.04,RU,1612925469
151,hamilton,39.1834,-84.5333,25.0,74,90,9.22,US,1612925383
152,matara,5.9485,80.5353,77.38,74,50,6.67,LK,1612925470
153,gazojak,41.1875,61.4036,42.93,64,100,12.1,TM,1612925471
154,tabuk,17.4189,121.4443,71.31,89,100,4.7,PH,1612925095
155,tiksi,71.6872,128.8694,-13.43,82,100,3.91,RU,1612925472
156,fairbanks,64.8378,-147.7164,-14.8,64,1,4.92,US,1612924710
157,biak,-0.9131,122.8766,84.07,68,87,1.25,ID,1612925472
158,aklavik,68.2191,-135.0107,-32.8,74,0,2.3,CA,1612925473
159,hoima,1.4356,31.3436,67.48,58,94,2.68,UG,1612925473
160,akyab,20.15,92.9,74.17,40,0,6.11,MM,1612925474
161,porto novo,6.4965,2.6036,84.2,84,40,13.8,BJ,1612925061
162,pogar,52.554,33.2591,5.16,95,97,4.63,RU,1612925474
163,sabha,27.0377,14.4283,57.72,32,30,10.51,LY,1612925476
164,biltine,14.5333,20.9167,64.09,27,63,12.01,TD,1612925476
165,tessalit,20.1986,1.0114,64.9,22,64,10.09,ML,1612925477
166,alice springs,-23.7,133.8833,95.0,41,0,12.66,AU,1612925190
167,pisco,-13.7,-76.2167,71.6,78,0,8.05,PE,1612925477
168,kerman,30.2832,57.0788,30.2,43,0,4.61,IR,1612925478
169,leh,34.1667,77.5833,15.64,82,97,1.7,IN,1612925478
170,seoul,37.5683,126.9778,41.0,70,75,9.22,KR,1612925465
171,teya,60.3778,92.6267,-5.08,85,100,11.16,RU,1612925479
172,syracuse,37.0881,15.2792,54.0,93,0,9.22,IT,1612925479
173,santa cruz,-17.8,-63.1667,71.6,83,90,14.97,BO,1612925260
174,hofn,64.2539,-15.2082,30.52,98,100,9.51,IS,1612925003
175,puerto el triunfo,13.2833,-88.55,77.0,83,0,3.44,SV,1612925480
176,ranong,9.9658,98.6348,84.2,79,0,2.3,TH,1612925481
177,bilma,18.6853,12.9164,65.08,23,0,7.99,NE,1612925481
178,sergeyevka,53.88,67.4158,-21.62,86,18,10.02,KZ,1612925482
179,cedar rapids,42.0083,-91.6441,1.0,77,1,5.75,US,1612925265
180,egvekinot,66.3167,-179.1667,-14.28,75,0,9.89,RU,1612925482
181,talnakh,69.4865,88.3972,-9.33,90,99,3.29,RU,1612925482
182,lata,40.1629,-8.3327,55.0,92,98,5.99,PT,1612925483
183,concepcion,-36.827,-73.0498,59.0,100,90,9.22,CL,1612925400
184,san andres del rabanedo,42.6117,-5.6167,39.0,100,40,13.8,ES,1612925483
185,rusape,-18.5278,32.1284,58.37,95,99,1.86,ZW,1612925484
186,kasongo-lunda,-6.4667,16.8167,70.74,92,100,0.72,CD,1612925484
187,roma,43.2128,-75.4557,21.2,86,90,2.44,US,1612925484
188,saint george,37.1041,-113.5841,57.2,24,20,2.66,US,1612925485
189,buckeye,33.3703,-112.5838,63.0,27,100,0.89,US,1612925485
190,clyde river,70.4692,-68.5914,-0.4,85,20,8.05,CA,1612925485
191,hirado,33.3597,129.5531,57.99,57,75,4.61,JP,1612925486
192,tornio,65.8481,24.1466,-20.2,76,90,4.61,FI,1612925486
193,oxelosund,58.6706,17.1015,14.0,85,75,5.75,SE,1612925486
194,bengkulu,-3.8004,102.2655,83.8,65,97,5.01,ID,1612925351
195,roald,62.5833,6.1333,26.6,93,90,11.5,NO,1612925487
196,porto franco,-6.3383,-47.3992,73.18,92,99,1.99,BR,1612925487
197,hare bay,48.8499,-54.0148,24.8,93,100,14.97,CA,1612925488
198,llangefni,53.2556,-4.3106,32.0,74,40,14.97,GB,1612925488
199,caraubas,-5.7925,-37.5567,77.52,75,100,6.6,BR,1612925488
200,kondinskoye,59.6481,67.41,-29.06,85,0,6.13,RU,1612925489
201,kudahuvadhoo,2.6708,72.8944,81.95,72,41,12.97,MV,1612925489
202,geraldton,-28.7667,114.6,73.4,56,90,23.02,AU,1612925489
203,bubaque,11.2833,-15.8333,76.87,66,36,15.08,GW,1612925490
204,airai,-8.9266,125.4092,71.73,82,100,4.12,TL,1612925297
205,helena,46.5927,-112.0361,-2.99,71,90,3.44,US,1612925490
206,georgetown,5.4112,100.3354,86.0,74,20,5.75,MY,1612925266
207,alofi,-19.0595,-169.9187,86.0,74,75,11.5,NU,1612925491
208,saint-pierre,-21.3393,55.4781,78.8,61,0,3.44,RE,1612924915
209,margate,51.3813,1.3862,33.01,55,100,3.0,GB,1612924896
210,tocopilla,-22.092,-70.1979,67.69,72,17,3.58,CL,1612925492
211,shache,38.4167,77.2406,45.18,48,1,7.25,CN,1612925493
212,kavaratti,10.5669,72.642,81.34,70,0,10.96,IN,1612925493
213,selimpasa,41.0558,28.379,54.0,93,75,20.71,TR,1612925494
214,erenhot,43.6475,111.9767,23.92,91,0,8.25,CN,1612924946
215,yarada,17.65,83.2667,68.0,88,21,2.3,IN,1612925494
216,rabo de peixe,37.8,-25.5833,62.01,94,75,19.57,PT,1612925495
217,svay rieng,11.0879,105.7993,83.73,60,44,3.22,KH,1612925349
218,pimentel,-6.8367,-79.9342,72.0,86,100,1.01,PE,1612925496
219,bokoro,12.3807,17.0568,65.89,23,20,10.98,TD,1612925496
220,mukhen,48.1,136.1,8.89,90,89,5.44,RU,1612925497
221,wuwei,37.9281,102.6414,50.0,28,0,4.83,CN,1612925497
222,muana,-1.5283,-49.2167,75.76,94,88,4.12,BR,1612925497
223,sanok,49.5557,22.2056,21.0,97,99,2.24,PL,1612925498
224,mlandizi,-6.7,38.7333,74.41,91,100,6.2,TZ,1612925499
225,lorengau,-2.0226,147.2712,84.61,75,98,6.13,PG,1612925499
226,novaya igirma,57.1334,103.9112,8.78,91,100,9.35,RU,1612925499
227,quelimane,-17.8786,36.8883,77.0,83,20,3.44,MZ,1612925500
228,tres arroyos,-38.3739,-60.2798,57.24,88,0,11.77,AR,1612925419
229,jakar,27.5492,90.7525,49.1,47,63,2.95,BT,1612925501
230,fakel,57.6325,53.0252,-15.23,87,71,1.01,RU,1612925501
231,hithadhoo,-0.6,73.0833,82.09,81,75,14.41,MV,1612925461
232,karpathos,35.507,27.2132,60.8,77,0,10.36,GR,1612925502
233,sept-iles,50.2001,-66.3821,6.01,47,1,8.05,CA,1612925479
234,worland,44.0169,-107.9554,1.99,78,90,4.61,US,1612925503
235,aykhal,66.0,111.5,-15.97,86,100,9.66,RU,1612925503
236,kontagora,10.3999,5.4695,71.65,21,38,5.79,NG,1612925504
237,santarem,-2.4431,-54.7083,77.0,94,75,5.75,BR,1612925368
238,sechura,-5.5569,-80.8222,76.37,72,99,9.8,PE,1612925505
239,la ronge,55.1001,-105.2842,-20.2,69,100,6.91,CA,1612925505
240,brae,60.3964,-1.353,34.5,82,91,5.32,GB,1612925506
241,necochea,-38.5473,-58.7368,59.0,90,13,1.99,AR,1612925506
242,katsuura,35.1333,140.3,51.8,43,40,11.5,JP,1612925506
243,inirida,3.8653,-67.9239,75.02,92,100,1.59,CO,1612924948
244,santa luzia,-19.7697,-43.8514,68.0,83,0,4.61,BR,1612925507
245,xining,36.6167,101.7667,36.01,55,84,1.86,CN,1612925508
246,dunedin,-45.8742,170.5036,57.99,69,85,1.99,NZ,1612924968
247,astana,51.1801,71.446,-18.4,76,40,15.66,KZ,1612925454
248,shekhupura,31.7131,73.9783,50.0,100,90,5.55,PK,1612925509
249,kyzyl-suu,42.3414,78.0056,32.49,88,99,4.52,KG,1612925509
250,ondjiva,-17.0667,15.7333,67.95,94,100,2.75,AO,1612925510
251,bethel,41.3712,-73.414,23.0,92,34,4.34,US,1612925510
252,kaka,37.3482,59.6143,53.69,44,9,7.07,TM,1612925510
253,oistins,13.0667,-59.5333,75.2,78,75,14.97,BB,1612925511
254,port hedland,-20.3167,118.5667,87.8,62,77,9.22,AU,1612925511
255,sagasa,10.4692,122.8953,83.68,71,20,1.68,PH,1612925511
256,abu dhabi,24.4667,54.3667,68.0,94,100,2.3,AE,1612925400
257,lipin bor,60.2622,37.9763,-5.89,91,100,3.89,RU,1612925512
258,athabasca,54.7169,-113.2854,-16.6,63,100,11.5,CA,1612925512
259,tilichiki,60.4667,166.1,14.58,94,100,11.7,RU,1612925512
260,sao felix do xingu,-6.6447,-51.995,70.77,96,100,1.05,BR,1612925513
261,hualmay,-11.0964,-77.6139,70.81,82,69,4.74,PE,1612925513
262,iskateley,67.6803,53.1512,-11.11,90,100,2.55,RU,1612925513
263,san matias,-16.3667,-58.4,76.87,53,88,2.28,BO,1612925514
264,sainte-anne-des-monts,49.124,-66.4924,15.8,53,0,16.11,CA,1612925514
265,cariati,39.4922,16.9594,55.99,93,90,13.8,IT,1612925514
266,vila velha,-20.3297,-40.2925,78.01,94,90,3.44,BR,1612925515
267,cefalu,38.0386,14.0229,60.01,55,3,13.71,IT,1612925515
268,marrakesh,31.6315,-8.0083,55.4,94,75,4.61,MA,1612925515
269,kamiiso,41.8167,140.65,30.2,86,75,14.97,JP,1612925475
270,ust-kut,56.7938,105.7672,9.1,90,100,3.69,RU,1612925516
271,montepuez,-13.1256,38.9997,70.0,98,100,8.25,MZ,1612925516
272,quatre cocos,-20.2078,57.7625,77.0,83,40,1.14,MU,1612925517
273,ponta do sol,32.6667,-17.1,57.99,72,71,1.01,PT,1612925517
274,hargeysa,9.56,44.065,54.91,95,56,17.02,SO,1612925481
275,sorong,-0.8833,131.25,84.96,73,100,7.07,ID,1612925518
276,nanortalik,60.1432,-45.2371,27.27,86,0,16.37,GL,1612925518
277,asau,46.4333,26.4,41.0,100,91,4.61,RO,1612925519
278,dingle,10.9995,122.6711,83.73,76,16,4.25,PH,1612925519
279,grao mogol,-16.5594,-42.8897,63.37,99,63,2.89,BR,1612925519
280,hovd,48.0056,91.6419,28.22,82,41,8.84,MN,1612925520
281,chernaya kholunitsa,58.8511,51.7154,-21.23,86,31,1.99,RU,1612925520
282,sehithwa,-20.4667,22.7167,67.5,94,100,4.0,BW,1612925088
283,kemi,65.8596,24.8228,-20.2,76,90,4.61,FI,1612925521
284,tiarei,-17.5333,-149.3333,82.4,65,75,17.27,PF,1612925522
285,malinovskiy,61.1953,62.8397,-23.69,84,0,4.14,RU,1612925522
286,bambamarca,-6.6833,-78.5333,52.7,79,100,4.16,PE,1612925522
287,vawkavysk,53.1561,24.4513,7.57,96,85,5.17,BY,1612925523
288,nioro,13.35,-15.75,74.28,18,97,7.09,GM,1612925523
289,ormara,25.2088,64.6357,71.29,38,68,18.9,PK,1612925523
290,peruibe,-24.32,-46.9983,72.28,76,26,3.44,BR,1612925524
291,mtsamboro,-12.6998,45.0689,80.6,89,75,6.91,YT,1612925524
292,taywarah,33.35,64.4167,29.03,77,0,0.87,AF,1612925524
293,chino valley,34.7575,-112.4538,46.99,40,100,1.99,US,1612925100
294,grindavik,63.8424,-22.4338,32.0,100,75,8.05,IS,1612924927
295,zemio,5.0314,25.1361,61.2,32,73,1.92,CF,1612925525
296,isangel,-19.55,169.2667,84.02,60,3,13.15,VU,1612925526
297,igrim,63.1906,64.4162,-27.83,85,0,3.6,RU,1612925526
298,bilibino,68.0546,166.4372,-3.78,86,2,2.77,RU,1612925526
299,bridgetown,13.1,-59.6167,75.2,78,75,14.97,BB,1612925527
300,mehamn,71.0357,27.8492,20.79,89,100,19.51,NO,1612925527
301,hambantota,6.1241,81.1185,73.4,88,75,8.05,LK,1612925528
302,beloha,-25.1667,45.05,72.01,93,100,9.13,MG,1612925528
303,ayan,56.45,138.1667,11.53,85,76,15.59,RU,1612925470
304,horodnye,45.8908,28.8483,45.5,92,100,7.43,UA,1612925529
305,cherskiy,68.75,161.3,-3.26,86,0,2.51,RU,1612925493
306,dire dawa,9.5931,41.8661,58.46,58,59,1.21,ET,1612925529
307,touros,-5.1989,-35.4608,80.6,78,75,6.91,BR,1612925530
308,salalah,17.0151,54.0924,75.2,38,0,8.05,OM,1612925530
309,luanda,-8.8368,13.2343,78.8,89,75,3.44,AO,1612925531
310,port blair,11.6667,92.75,80.17,57,47,12.86,IN,1612925531
311,kokopo,-4.352,152.2633,84.04,76,86,10.42,PG,1612925342
312,sao joao do piaui,-8.3581,-42.2467,71.37,92,22,1.1,BR,1612925532
313,manjacaze,-24.7117,33.8828,73.87,95,17,5.66,MZ,1612925532
314,goderich,43.7501,-81.7165,15.8,62,92,5.75,CA,1612925532
315,sao joao da barra,-21.6403,-41.0511,73.69,86,81,6.89,BR,1612925102
316,sitka,57.0531,-135.33,14.0,41,40,11.5,US,1612925533
317,port lincoln,-34.7333,135.8667,81.21,37,0,9.13,AU,1612925533
318,abu samrah,35.3029,37.1841,54.05,58,100,1.45,SY,1612925534
319,vestmannaeyjar,63.4427,-20.2734,40.55,70,99,15.66,IS,1612925534
320,atbasar,51.8,68.3333,-25.19,86,27,9.17,KZ,1612925534
321,zhigansk,66.7697,123.3711,-21.19,85,8,3.56,RU,1612925535
322,pauri,30.15,78.7833,52.27,46,10,3.06,IN,1612925535
323,ilulissat,69.2167,-51.1,17.6,45,0,12.66,GL,1612925535
324,saldanha,-33.0117,17.9442,62.6,82,0,6.91,ZA,1612925411
325,ilhabela,-23.7781,-45.3581,73.78,78,47,5.91,BR,1612925536
326,xai-xai,-25.0519,33.6442,76.86,89,23,8.14,MZ,1612925536
327,ambon,-3.6954,128.1814,91.4,62,20,6.91,ID,1612925039
328,hurghada,27.2574,33.8129,60.8,77,0,4.61,EG,1612925522
329,torbay,47.6666,-52.7314,28.99,86,90,29.93,CA,1612925537
330,bambous virieux,-20.3428,57.7575,77.0,83,40,1.14,MU,1612925537
331,newala,-10.9431,39.2787,67.41,100,100,2.91,TZ,1612925538
332,jalu,29.0331,21.5482,55.45,35,40,6.13,LY,1612925538
333,chuy,-33.6971,-53.4616,67.26,91,0,6.26,UY,1612925538
334,lazaro cardenas,17.9583,-102.2,72.73,79,13,4.45,MX,1612925528
335,san cosme y damian,-27.3167,-56.35,73.4,78,40,4.61,PY,1612925539
336,ancud,-41.8697,-73.8203,60.01,84,0,3.2,CL,1612925512
337,hutchinson,38.0608,-97.9298,14.0,73,90,9.22,US,1612925267
338,gat,31.61,34.7642,55.99,22,70,1.14,IL,1612925541
339,boffa,10.1667,-14.0333,71.47,88,0,1.43,GN,1612925541
340,vardo,70.3705,31.1107,21.25,90,100,13.0,NO,1612925516
341,apaseo el grande,20.5667,-100.7,69.8,37,40,11.5,MX,1612925542
342,magam,34.0833,74.5833,34.81,84,0,1.16,IN,1612925542
343,port macquarie,-31.4333,152.9167,68.0,94,75,10.36,AU,1612925542
344,seybaplaya,19.65,-90.6667,76.46,80,74,7.05,MX,1612925543
345,port moresby,-9.4431,147.1797,89.6,62,40,9.1,PG,1612925543
346,tahlequah,35.9154,-94.97,26.6,100,90,4.61,US,1612925543
347,juegang,32.3174,121.1855,52.0,74,100,9.46,CN,1612925544
348,presidencia roque saenz pena,-26.7852,-60.4388,68.0,89,12,1.99,AR,1612925544
349,pangnirtung,66.1451,-65.7125,5.43,77,0,3.51,CA,1612925544
350,verkh-tula,54.8839,82.7762,-4.0,71,100,11.18,RU,1612925545
351,ulagan,50.6321,87.9563,0.72,80,8,2.71,RU,1612925545
352,ostrovnoy,68.0531,39.5131,9.36,94,100,17.81,RU,1612925547
353,conceicao do araguaia,-8.2578,-49.2647,72.0,97,100,5.03,BR,1612925529
354,yerbogachen,61.2767,108.0108,6.85,92,37,11.18,RU,1612925548
355,langsa,4.4683,97.9683,86.07,64,19,4.0,ID,1612925351
356,hay river,60.8156,-115.7999,-16.6,69,100,16.11,CA,1612924952
357,goundam,16.4145,-3.6708,70.21,19,0,10.85,ML,1612925549
358,ixtapa,20.7,-105.2,71.01,83,40,5.75,MX,1612925549
359,san vicente,-26.6167,-54.1333,62.35,79,100,1.97,AR,1612925520
360,liepaja,56.5419,21.0367,6.8,85,20,6.91,LV,1612925550
361,melo,-32.3667,-54.1833,64.65,95,28,6.04,UY,1612925550
362,lubango,-14.9172,13.4925,58.21,56,100,3.44,AO,1612925548
363,yining,29.0361,114.5636,51.87,89,100,2.08,CN,1612925551
364,shestakovo,56.4915,103.96,8.91,90,100,4.63,RU,1612925551
365,nuuk,64.1835,-51.7216,26.6,80,75,12.66,GL,1612925552
366,puerto carreno,6.189,-67.4859,82.09,56,46,10.4,CO,1612925406
367,aloleng,16.1307,119.7824,81.77,65,96,11.54,PH,1612925552
